Last Name,First Name,Country,Occupation,Event ID 1,Event ID 1 Citations ,Event ID 2,Event ID 2 Citations,Event ID 3,Event ID 3 Citations,Event ID 4,Event ID 4 Citations,Event ID 5,Event ID 5 Citations ,Event ID 6,Event ID 6 Ciation,Event ID 7,Event ID 7 Citation
Phagna Nith Singharaj,,Laos,Government minister,AAConfBandung,,,,,,,,,,,,,
Pham Ngoc Thach,,Vietnam,Deputy Minister of Health; Doctor; Professor; Scientist,AAConfBandung,,,,,,,,,,,,,
Pham Van Dong,,Vietnam,Prime Minister,AAConfBandung,"""Journal Entry of Ambassador Zhukov: Breakfast with Huang Zhen""; ""Cable from Zhang Hanfu, 'Daily Report on the Activities of the Delegation',"" April 21, 1955",,,,,,,,,,,,
Phipps,Richard E,Trinidad,Lawyer,1PanConf,Hooker 21,,,,,,,,,,,,
Pickens,Minnie A.,,,4PanCong,UMASS,,,,,,,,,,,,
Pickens,William,United States,NAACP,4PanCong,"Geiss, The Pan-African Movement",WAC,"Makalani, ""An Incessant Struggle"" 187; Makalani, In the Cause of Freedom, 139",2LAI,"Adi, Pan-Africanism 198; Petersson ""We Are Neither Visionaries Nor Utopian Dreamers,"" 324",,,,,,,,
Pin Han,Li,China,Kuo Min tang Party of China in Europe,WAC,"""League Against Colonial Oppression"" booklet",,,,,,,,,,,,
Ping,Huang,China,trade union,2LAI,"Petersson, ""We Are Neither Visionaries Nor Utopian Dreamers""",,,,,,,,,,,,
Pioch,George,France,Man of Lettres,WAC,"""League Against Colonial Oppression"" booklet",,,,,,,,,,,,
Piquion,R. ,Haiti,,1IntBW,UNESCO 192; Babacar 992,,,,,,,,,,,,
Plaatje,,South Africa,,1PanCong,Geiss The Pan-African Movement 238,,,,,,,,,,,,
Plinnier,A. ,Belgium,attorney,WAC,"""League Against Colonial Oppression"" booklet",,,,,,,,,,,,
Pob In,Kim,Korea,Korean Students' Federation of Paris,WAC,"""League Against Colonial Oppression"" booklet",,,,,,,,,,,,
Polakoff,Florence,,particpant,ConfA,"""Proceedings of the Conference on Africa"" pamphlet",,,,,,,,,,,,
Polevoy,Boris,Russia,Writer  ,1AAWConf,,,,,,,,,,,,,
