Last Name,First Name,Country,Occupation,Event ID 1,Event ID 1 Citations ,Event ID 2,Event ID 2 Citations,Event ID 3,Event ID 3 Citations,Event ID 4,Event ID 4 Citations,Event ID 5,Event ID 5 Citations ,Event ID 6,Event ID 6 Ciation,Event ID 7,Event ID 7 Citation
A. Doak Barnett,,United States,journalist,AAConfBandung,,,,,,,,,,,,,
A. Rashid Ibrahim,,Pakistan,Government minister,AAConfBandung,,,,,,,,,,,,,
Abashidze,Iraklii,Georgia,Poet; Politician,1AAWConf,Literary Scholar,,,,,,,,,,,,
Abbas,Abdul Majib,Iraq,Professor; Government Minister,AAConfBandung,Seperempat Abad,,,,,,,,,,,,
Abbu,Abdel Hafez,Nigeria,,1AAWConf,,,,,,,,,,,,,
Abd Al-Karim Said Karim,,Jordan,,1AAWConf,,,,,,,,,,,,,
Abd Al-Razzaq Muhi Al-Din,,Iraq,,1AAWConf,,,,,,,,,,,,,
Abdelkader,Hadj-Ali,France,from L'Ã‰toile Nord Africaine,WAC,"Adi, ""Pan-Africanism"" 197",,,,,,,,,,,,
Abdoh,Djalal,Iran ,Politician; Government Minister,AAConfBandung,Seperempat Abad,,,,,,,,,,,,
Abdul,Najibullah Totvaya,Afghanistan,Ambassador to UK (London),AAConfBandung,Seperempat Abad,,,,,,,,,,,,
Abdul Muttalib,,Iraq,Envot to Indonesia,AAConfBandung,Seperempat Abad,,,,,,,,,,,,
Abdulasar Khafiz Jalandhari,,Pakistan,Poet (Urdu),1AAWConf,,,,,,,,,,,,,
Abdulgani,Roesian,Indonesia,Politician; Government Minister,"""Indonesia - Asian-African Conference Archives""",,,,,,,,,,,,,
Abdulkadir, m                                                                                                   ,Indonesia,Ambassador to Egyot,AAConfBandung,Seperempat Abad,,,,,,,,,,,,
Abdullahi,Ali,Somalia,,3AAPC,https://www.cia.gov/library/readingroom/docs/CIA-RDP78-00915R001300320009-3.pdf,,,,,,,,,,,,
Abdulmuthalib,,Indonesia,"Functionary, Ministry of Communications",AAConfBandung,Seperempat Abad,,,,,,,,,,,,
Abdurrahimzai,Abdul Malik,Afghanistan,Brigadier; Acting Minister for Finance; Acting Minister for National Economy,AAConfBandung,Seperempat Abad,,,,,,,,,,,,
Abel,Kingue,Cameroon,,3AAPC,https://www.cia.gov/library/readingroom/docs/CIA-RDP78-00915R001300320009-3.pdf,,,,,,,,,,,,
Abrahams,Peter,South Africa,Writer,ConfLCP,"Geiss, The Pan African Movement, 387",5PanCong,"Geiss, The-Pan-African Movement, 401",PAF,"Bell et. al, W.E.B. Du Bois on Race and Culture",,,,,,,,
Abu Nosseir,Mohammed,Egypt,Deputy Minister for Commerce and Industry,AAConfBandung,Seperempat Abad,,,,,,,,,,,,
Abu-Izzedin,Halim,Lebanon,Politician; Diplomat; Consul-General to Egypt,AAConfBandung,Abdulgani 61,,,,,,,,,,,,
Achille,Louis Thomas,Martinique,,1IntBW,The 1st International Conference of Negro Writers and Artists,2IntBW,Second Congress of Negro Writers and Artists,,,,,,,,,,
Achmed,Mohamed,India,Hindoo Students Federation of Paris,WAC,"""League Against Colonial Oppression"" booklet",,,,,,,,,,,,
Adamiyat,Fereydoune,Iran ,Social Historian,AAConfBandung,Seperempat Abad,,,,,,,,,,,,
Adjei,Ako,Ghana,lawyer,5PanCong,"Geiss, The Pan-African Movement, 401",,,,,,,,,,,,
Adler,Dr. Raissa,Austria,,WAC,"""League Against Colonial Oppression"" booklet",,,,,,,,,,,,
Afshar,Emir Aslan,Iran ,Member of the U.N. Parliament,AAConfBandung,Seperempat Abad,,,,,,,,,,,,
Agbebi,Mohjola,Nigeria,director of the Niger Delta mission,1URCong,Geiss The Pan-African Movement 216,,formerly Baptist leader D.B. Vincent,,,,,,,,,,
Agblemagnon,F. ,Togo,,1IntBW,UNESCO 192,,,,,,,,,,,,
Ahmad F. Ben Saoud,,Libya,"Head of Press, Foreign Office",AAConfBandung,,,,,,,,,,,,,
Ahmed ,Aziz,Pakistan,,AAConfBandung,,,,,,,,,,,,,
Ahmed Sheli Omar Alaguri,,Somalia,,1AAWConf,,,,,,,,,,,,,
Akil,Saleh,Syria,Member of Parliament,AAConfBandung,Seperempat Abad,,,,,,,,,,,,
Akpabio,Ibanga Udo,United States,,ConfA,"""Proceedings of the Conference on Africa"" pamphlet",,,,,,,,,,,,
Al Amrousi,Ali Al ,Egypt,Envoy Extraordinary and Minister,AAConfBandung,Seperempat Abad,,,,,,,,,,,,
Al-Azhari,Sayyid Ismail,Sudan,Prime Minister,AAConfBandung,"""Report from the Chinese Foreign Ministry, 'Comments on the Asian-African Conference from Capitalist Ruled Countries After the Asian-African Conference',""",,,,,,,,,,,,
Al-Hashimi,Abdul Muttalib Amin,Iraq,Politician,AAConfBandung,Seperempat Abad,,,,,,,,,,,,
Al-Hassan,Sayf Al-Islam,Yemen,Emir,AAConfBandung,"""Indonesia - Asian-African Conference Archives""",,,,,,,,,,,,
Al-Husseini,Amin,Palestine,Poltiical leader,AAConfBandung,"Abdulgani 83; ""Indonesia - Asian-African Conference Archives""",,,,,,,,,,,,
Al-Jarbi,Suleiman,Libya,Ambassador to UK,AAConfBandung,,,,,,,,,,,,,
Al-Majali,Hazza',Jordan,Prime Minister,AAConfBandung,Seperempat Abad,,,,,,,,,,,,
Al-Misallati,Omar,,,AAConfBandung,,,,,,,,,,,,,
Al-Razzaq,Abd ,Libya,Politician,AAConfBandung,,,,,,,,,,,,,
Al-Saud,Faisal Bin Abd Al-Aziz,Saudi Arabia,King,AAConfBandung,"""Report from the Chinese Foreign Ministry, 'Comments on the Asian-African Conference from Capitalist Ruled Countries After the Asian-African Conference',"" ""Indonesia - Asian-African Conference Archives""",,,,,,,,,,,,
Alajajian,Stepan,Armenia,Writer,1AAWConf,,,,,,,,,,,,,
Alawi,Sayed Hassan,Yemen,,AAConfBandung,Seperempat Abad,,,,,,,,,,,,
Albach,Mrs. Emma S.,,participant,ConfA,"""Proceedings of the Conference on Africa"" pamphlet",,,,,,,,,,,,
Alcindor,John,Trinidad & London,Physician & Activist,1PanConf,"Tony Martin, Pan-African Connection: From Slavery to Garvey and Beyond (Dover: Majority Press, 1985), p. 207.",3PanCong,"Geiss, The Pan-African Movement 253",,,,,,,,,,
Alexander,Lillian A.,,,4PanCong,UMASS,,,,,,,,,,,,
Alexis,Jacques Stephen,Haiti,Novelist; Poet,1IntBW,The 1st International Conference of Negro Writers and Artists,,,,,,,,,,,,
Ali,DusÃ© Mohamed,Sudan & Egypt,actor,1URCong,"Adi & Sherwood Pan-African History, 2",,,,,,,,,,,,
Ali,Farhat,Pakistan,Politician; UN Delegate,AAConfBandung,,,,,,,,,,,,,
Ali,Mohammed,Pakistan,Prime Minister,AAConfBandung,"""Report from the Chinese Foreign Ministry, 'The Afro-Asian Conference""; """"Summary of the Views of Afro-Asian Countries on the Taiwan Issue""; ""Report from the Chinese Foreign Ministry, 'Several Distorted Views on the Asian-African Conference'""; ""Indonesia - Asian-African Conference Archives""; Wright, Colored Curtain 1033",,,,,,,,,,,,
Ali Kara ogly Veliev,,Azerbaijan,Novelist,1AAWConf,,,,,,,,,,,,,
Ali Mirza,Bakar,India,Hindoo Union,WAC,"""League Against Colonial Oppression"" booklet",,,,,,,,,,,,
Ali Omar Senyonra,,Uganda,,1AAWConf,,,,,,,,,,,,,
Alimard,,Persia,Communist Party of Persia,2LAI,"Petersson, ""We Are Neither Visionaries Nor Utopian Dreamers""",,,,,,,,,,,,
Alireza,Ali Al ,Saudi Arabia,Politician; UN Delegate,AAConfBandung,Seperempat Abad,,,,,,,,,,,,
Alleyne,,,from Aggrey House,ConfAP,"Geiss, The Pan-African Movement, 360",,,,,,,,,,,,
Alminiana,A. ,Phillipine Islands,Filipino Association of Chicago,WAC,"""League Against Colonial Oppression"" booklet",,,,,,,,,,,,
Alonto,Domocao,Philippines,Politician; Attorney; Teacher,AAConfBandung,,,,,,,,,,,,,
Amatayakul,Manu,Thailand,,AAConfBandung,,,,,,,,,,,,,
Amin,G. L. ,India,,2LAI,"Petersson, ""We Are Neither Visionaries Nor Utopian Dreamers""",,,,,,,,,,,,
Amini,Ali  ,Iran,Minister for Finance,AAConfBandung,Seperempat Abad,,,,,,,,,,,,
Amoah III,Chief,Gold Coast,,3PanCong,"Adi, Pan-Africanism 167-8",4PanCong,"Geiss, The Pan-African Movement",,,,,,,,,,
Anand,Mulk Raj,India,Writer,1AAWConf,,,,,,,,,,,,,
Anatoly Vladimirovich Sofronov,,Russia,Poet (Russian); Writer (Russian); Playwright (Russian); Scriptwriter (Russian); Editor; Literary Administrator,1AAWConf,,,,,,,,,,,,,
Andrade,Mario P. ,Angola,AbbÃ©,1IntBW,UNESCO 192; Babacar 992,3AAPC,https://www.cia.gov/library/readingroom/docs/CIA-RDP78-00915R001300320009-3.pdf,,,,,,,,,,
Andrews,M. ,South Africa,secretary South African Trade Union,WAC,"""League Against Colonial Oppression"" booklet",,,,,,,,,,,,
Andrews ,William H. ,South Africa,South African Trade Union Congress; Furniture Workers' Association,2LAI,"Petersson, ""We Are Neither Visionaries Nor Utopian Dreamers""",,,,,,,,,,,,
Andriantsilaniarivo,Edouard,Madagascar,Professor of Liberal Arts,1IntBW,The 1st International Conference of Negro Writers and Artists,2IntBW,Second Congress of Negro Writers and Artists,,,,,,,,,,
Annapamandanda,,India,,2LAI,"Petersson, ""We Are Neither Visionaries Nor Utopian Dreamers""",,,,,,,,,,,,
Anthony,Frank,,participant,ConfA,"""Proceedings of the Conference on Africa"" pamphlet",,,,,,,,,,,,
Archer,John,United Kingdom,Politician & Activist; Leader of African Political Union; former Mayor of Battersea,1PanConf,"Tony Martin, Pan-African Connection: From Slavery to Garvey and Beyond (Dover: Majority Press, 1985), p. 207.",1PanCong,Maloney,,,,,,,,,,
Armattoe,Raphael (Togo),Ghana,doctor,5PanCong,"Geiss, The Pan-African Movement, 405",,,,,,,,,,,,
Arnett,B.W.,United States,chaplain,1PanConf,Geiss The Pan-African Movement 182,Illinois,,,,,,,,,,,
Asakai,Koichiro,Japan,Government Minister,AAConfBandung,,,,,,,,,,,,,
Asmaun,R. A. ,Indonesia,"Director-General, Economic Relations",AAConfBandung,Seperempat Abad,,,,,,,,,,,,
Assadoff,Ahmed,Persia,Persian Revolutionary Republican Party,WAC,"""League Against Colonial Oppression"" booklet",,,,,,,,,,,,
Atlas,Seymour,,participant,ConfA,"""Proceedings of the Conference on Africa"" pamphlet",,,,,,,,,,,,
Atta,Nana Ofori,Gold Coast,Prince,TNITWT,"Geiss, The Pan African Movement, 357",,,,,,,,,,,,
Atta,William Ofori,Gold Coast,,ConfAP,https://seancreighton1947.wordpress.com/2015/07/02/the-conference-of-african-peoples-1939-in-julys-history-today/,,,,,,,,,,,,
Auezov,Muhtar,Georgia,Playwright; Scientist,1AAWConf,,,,,,,,,,,,,
Awolowo,Obafemi,Nigeria,"statesman; later the founder and leader of the Action Group, the Yoruba party",5PanCong,"Geiss, The Pan-African Movement, 401",,,,,,,,,,,,
Aye Hlaing,U,Myanmar,"Lecturer in Economics, University of Rangoon",AAConfBandung,Seperempat Abad,,,,,,,,,,,,
Azkoul,Karim,Lebanon,Politician; Professor,AAConfBandung,Abdulgani 61,,,,,,,,,,,,
Bachman,Otto,Germany,member of the Reichstag,WAC,"""League Against Colonial Oppression"" booklet",,,,,,,,,,,,
Bachrach,Marion,,participant,ConfA,"""Proceedings of the Conference on Africa"" pamphlet",,,,,,,,,,,,
Baja,Tiburcio C. ,,Politician; Diplomat,AAConfBandung,,,,,,,,,,,,,
Bakari,Djibo,Niger ,,3AAPC,https://www.cia.gov/library/readingroom/docs/CIA-RDP78-00915R001300320009-3.pdf,,,,,,,,,,,,
Baldwin,James,United States,Author,1IntBW,Adi & Sherwood Pan-African History 22,,,,,,,,,,,,
Baldwin,Roger,United States,lawyer; American Civil Liberties Union,WAC,"Makalani, In the Cause of Freedom, 139",,,,,,,,,,,,
Banda,Hastings ,Nyasaland,Doctor; will become President of Malawi (Nyasaland),5PanCong,By Nassoro Habib Mbwana Msonde,,,,,,,,,,,,
Bannerjee,Tarashakkar,India,Novelist (Bengali),1AAWConf,"Liu, 163",,,,,,,,,,,,
Barbusse,Henri,France,novelist; communist,WAC,"Makalani, ""An Incessanst Struggle"" 188; ""League Against Colonial Oppression"" booklet",2LAI,"BrÃ_ckenhaus, Policing Transnational Protest, 154",,,,,,,,,,
Barktullah,Maulavi,United States; India,Hindustan Gadar Party,WAC,"Makalani, ""An Incessanst Struggle"" 187; ""League Against Colonial Oppression"" booklet",,,,,,,,,,,,
Barnes,Leonard,,council member,ConfA,"""Proceedings of the Conference on Africa"" pamphlet",,,,,,,,,,,,
Barrier,Ella D.,United States,,1PanConf,"Geiss The Pan-African Movement 182; Adi, Pan-Africanism 79",,,,,,,,,,,,
Barrington,James,Myanmar,Ambassador to Washington (US),AAConfBandung,Seperempat Abad,,,,,,,,,,,,
Bass,Mrs. Charlotta A.,,council member,ConfA,"""Proceedings of the Conference on Africa"" pamphlet",,,,,,,,,,,,
Batro,V. K.,,participant,ConfA,"""Proceedings of the Conference on Africa"" pamphlet",,,,,,,,,,,,
Becker,C.H.,Germany,(later) Prussian minister of education in the Weimar Republic,1URCong,Geiss The Pan-African Movement 216,,,,,,,,,,,,
Bedi,Raijinder Singh,India,Writer (Urdu); Playwright; Film Director,1AAWConf,,,,,,,,,,,,,
Bell,Y. W.,,bishop.council member,ConfA,"""Proceedings of the Conference on Africa"" pamphlet",,,,,,,,,,,,
Bellegarde,DantÃ¨s,Haiti,historian,4PanCong,"Geiss, The Pan-African Movement",,,,,,,,,,,,
Ben Seddik,Mahoub,Morocco,,3AAPC,https://www.cia.gov/library/readingroom/docs/CIA-RDP78-00915R001300320009-3.pdf,,,,,,,,,,,,
Benler,Talat,Turkey,,AAConfBandung,,,,,,,,,,,,,
Beran,L. ,Czechoslovakia,secretary of the Workers International Relief,WAC,"""League Against Colonial Oppression"" booklet",,,,,,,,,,,,
Berthon,AndrÃ¨,France,member of the Paris City Council,WAC,"""League Against Colonial Oppression"" booklet",,,,,,,,,,,,
Bertrand,Russell,,,WAC,"""League Against Colonial Oppression"" booklet",,,,,,,,,,,,
Besant,Annie,United Kingdom,theosophist,1URCong,Geiss The Pan-African Movement 217,,,,,,,,,,,,
Bethune,Mary McLeod,United States,chairman of National Council of Negro Women,ConfA,"Geiss, The Pan-African Movement, 382",,,,,,,,,,,,
BÃ©ton,Isaac,France,,3PanCong,Geiss The Pan-African Movement 251,,,,,,,,,,,,
Beville,Albert,,,2IntBW,Second Congress of Negro Writers and Artists,,,,,,,,,,,,
Bey el Dschabri,Ihann,Syria,National Syrian Committee,WAC,"""League Against Colonial Oppression"" booklet",,,,,,,,,,,,
Bhagwat,Durga,India,Writer (Marathi); Scientists; Scholar,1AAWConf,,,,,,,,,,,,,
Bhat,Dr.  ,India,Hindoo Workers Welfare Lounge,WAC,"""League Against Colonial Oppression"" booklet",,,,,,,,,,,,
Bhatt,V. R. ,India,Public Relations Officer,AAConfBandung,Seperempat Abad,,,,,,,,,,,,
Bissainthe,GÃ©rardorge,Haiti,Priest (Catholic),1IntBW,The 1st International Conference of Negro Writers and Artists,,,,,,,,,,,,
Bittelman,Alexander,Soviet Union,,2LAI,"Petersson, ""We Are Neither Visionaries Nor Utopian Dreamers""",,,,,,,,,,,,
Biyidi,Alexandre,,,2IntBW,Second Congress of Negro Writers and Artists,,,,,,,,,,,,
Blackman,Peter,Barbados,,1IntBW,The 1st International Conference of Negro Writers and Artists,,,,,,,,,,,,
Blackman,,,from Aggret House,ConfAP,"Geiss, The Pan-African Movement, 359",,,,,,,,,,,,
Bloncourt,Max,Guadeloupe,,WAC,"Makalani, ""An Incessant Struggle"" 188",,,,,,,,,,,,
Bokwe,Dr. R. T. ,,council member,ConfA,"""Proceedings of the Conference on Africa"" pamphlet",,,,,,,,,,,,
Bolamba,A. R. ,Congo,,1IntBW,UNESCO 192,,,,,,,,,,,,
Bolton,Albert,,participant,ConfA,"""Proceedings of the Conference on Africa"" pamphlet",,,,,,,,,,,,
Bond,Horace Mann,United States,Educator; University administrator,1IntBW,The 1st International Conference of Negro Writers and Artists,,,,,,,,,,,,
Bonze,Vo Van Tahnh,Vietnam,"President, Students Association",AAConfBandung,,,,,,,,,,,,,
Botsio,Kojo,Ethiopia,Minister of State,AAConfBandung,Seperempat Abad,,,,,,,,,,,,
Botsio,Kojo,Ghana,Minister of State; Member of the Legislative Assembly,AAConfBandung,"Wright, Colored Curtain 1058; Seperempat Abad 50",3AAPC,https://www.cia.gov/library/readingroom/docs/CIA-RDP78-00915R001300320009-3.pdf,,,,,,,,,,
Boukur,,North Africa,Etoile Nord-Africaine of Paris,2LAI,"Petersson, ""We Are Neither Visionaries Nor Utopian Dreamers""",,,,,,,,,,,,
Boumendjel,Ahmed,Algeria,,3AAPC,https://www.cia.gov/library/readingroom/docs/CIA-RDP78-00915R001300320009-3.pdf,,,,,,,,,,,,
Boutte,Matthew,,participant,ConfA,"""Proceedings of the Conference on Africa"" pamphlet",,,,,,,,,,,,
Boutte,Mrs. Etnah,,participant,ConfA,"""Proceedings of the Conference on Africa"" pamphlet",,,,,,,,,,,,
BouttÃ©,,,Captain,1PanCong,A Session of the Pan-African Congress,,,,,,,,,,,,
Braatoy,Bjarne,,socialist,2LAI,"Petersson, ""We Are Neither Visionaries Nor Utopian Dreamers""",,,,,,,,,,,,
Brailsford,H. N. ,United Kingom,Independent Labour Party,WAC,"""League Against Colonial Oppression"" booklet",,,,,,,,,,,,
Brentano,Luju,Germany,,1URCong,Geiss The Pan-African Movement 216,,,,,,,,,,,,
Bridgeman,Reginald,United Kingom,League Against Colonial Oppression,WAC,"""League Against Colonial Oppression"" booklet",2LAI,"Ellison, ""The League Against Imperialism (British Section)"" 17",,,,,,,,,,
Brill,Elsie,,participant,ConfA,"""Proceedings of the Conference on Africa"" pamphlet",,,,,,,,,,,,
Broadhurst,Robert,,future secretary of the African Progress Union in London,1URCong,Geiss The Pan-African Movement 235,,,,,,,,,,,,
Broner,Lida N.,,council member,ConfA,"""Proceedings of the Conference on Africa"" pamphlet",,,,,,,,,,,,
Brown,Charlotte Hawkins,,council member,ConfA,"""Proceedings of the Conference on Africa"" pamphlet",,,,,,,,,,,,
Brown,Henry B. ,Canada,Reverend,1PanConf,Geiss The Pan-African Movement 182,,,,,,,,,,,,
Brown,Mayme,,participant,ConfA,"""Proceedings of the Conference on Africa"" pamphlet",,,,,,,,,,,,
Brown,Rev. William H.,,participant,ConfA,"""Proceedings of the Conference on Africa"" pamphlet",,,,,,,,,,,,
Brown,Ruth,,participant,ConfA,"""Proceedings of the Conference on Africa"" pamphlet",,,,,,,,,,,,
Brown,William Montgomery,,bishop,WAC,"""League Against Colonial Oppression"" booklet",,,,,,,,,,,,
Brsibane,Arthur,,participant,ConfA,"""Proceedings of the Conference on Africa"" pamphlet",,,,,,,,,,,,
Bryan,George,,participant,ConfA,"""Proceedings of the Conference on Africa"" pamphlet",,,,,,,,,,,,
Buckle,J.,United Kingdom,,1PanConf,Geiss The Pan-African Movement 183; Sherwood Origins of Pan-Africanism 78,,,,,,,,,,,,
Buckmaster,Henrietta,,participant,ConfA,"""Proceedings of the Conference on Africa"" pamphlet",,,,,,,,,,,,
Budden,Olive,,communist,2LAI,"Petersson, ""We Are Neither Visionaries Nor Utopian Dreamers""",,,,,,,,,,,,
Buford,Fannie,,participant,ConfA,"""Proceedings of the Conference on Africa"" pamphlet",,,,,,,,,,,,
Burgees King,Charles Dunbar,Liberia,Politician; former president,AAConfBandung,,,,,,,,,,,,,
Burns,Emile,,writer for Labour Monthly,2LAI,"Petersson, ""We Are Neither Visionaries Nor Utopian Dreamers""",,,,,,,,,,,,
Burroughs,Williana,United States,,2LAI,"Adi, ""Pan-Africanism"" 198",,,,,,,,,,,,
Busuego,Romeo S. ,Philippines,Politician  ,AAConfBandung,,,,,,,,,,,,,
Ca Van Thinh,,Vietnam,,AAConfBandung,,,,,,,,,,,,,
Cadet,Eliezer,Haiti,Grand Commissaire in France; Represented UNIA and The Negro World (Garvey's paper),1PanCong,Worley and Contee 141,,,,,,,,,,,,
Calloway,T.J.,United States,,1PanConf,Geiss The Pan-African Movement 182,,,,,,,,,,,,
Campbell,Charles,,participant,ConfA,"""Proceedings of the Conference on Africa"" pamphlet",,,,,,,,,,,,
Candace,Gratien,Guadeloupe,chamber of deputies representative,1PanCong,Geiss The Pan-African Movement 238,,,,,,,,,,,,
Carbonel,W. ,Cuba,,1IntBW,UNESCO 192,,,,,,,,,,,,
Carpenter,Dr. George,,participant,ConfA,"""Proceedings of the Conference on Africa"" pamphlet",,,,,,,,,,,,
Carter,Eunise Hunton,,,4PanCong,UMASS,ConfA,"""Proceedings of the Conference on Africa"" pamphlet",,,,,,,,,,
Carter,Mrs. E. C. ,,participant,ConfA,"""Proceedings of the Conference on Africa"" pamphlet",,,,,,,,,,,,
Carter,Robert L. ,,,2IntBW,Second Congress of Negro Writers and Artists,,,,,,,,,,,,
Cartwright,Marguerite,United States,Journalist,AAConfBandung,,,,,,,,,,,,,
Casabona,Luis,Puerto Rico,writer & publicist,WAC,"""League Against Colonial Oppression"" booklet",,,,,,,,,,,,
Casely-Hayford,Joseph,Ghana,lawyer,WAC,"Makalani, ""An Incessant Struggle"" 187",,,,,,,,,,,,
Cassell,Christian Abayomi Cassell,Liberia,Lawyer; Politician,AAConfBandung,,,,,,,,,,,,,
CÃ©saire,AimÃ©,Martinique,Writer,1IntBW,Adi & Sherwood Pan-African History 22,2IntBW,Adi & Sherwood Pan-African History 24,,,,,,,,,,
Ch'ao-ting,Chi,United States,communist,WAC,"Makalani, In the Cause of Freedom, 139",,,,,,,,,,,,
Chai,H.   ,China,Chinese Chambers of Commerce,WAC,"""League Against Colonial Oppression"" booklet",,,,,,,,,,,,
Challaye,FÃ©licien,France,member of the Institut de France,WAC,"""League Against Colonial Oppression"" booklet",,,,,,,,,,,,
Chamberlain,Prof. J. P. ,,participant,ConfA,"""Proceedings of the Conference on Africa"" pamphlet",,,,,,,,,,,,
Chao,Chi li,China,Kwangtang Provincial Labor Federation,WAC,"""League Against Colonial Oppression"" booklet",,,,,,,,,,,,
Chapoteau,Mme.,,,1PanCong,A Session of the Pan-African Congress,,,,,,,,,,,,
Charles Dunbar Sherman,,Liberia,Professor; Government economost,AAConfBandung,,,,,,,,,,,,,
Charles Patrick Fitzgerald,,Australia,Historian,AAConfBandung,"Wright, Color Curtain 968; Black 264",,,,,,,,,,,,
Chatterji,Suniti Kumar,India,Linguist; Writer (Bengali),1AAWConf,,,,,,,,,,,,,
Chattopadhyaya,,India,Hindoo Journalists Federation in Europe,WAC,"""League Against Colonial Oppression"" booklet",,,,,,,,,,,,
Chau,Nguyen Huu,Vietnam,Official of Ministry of Foreign Affairs,AAConfBandung,,,,,,,,,,,,,
Chauhan,Shivdan Singh,India,Writer (Hindi),1AAWConf,,,,,,,,,,,,,
Chellis,Joyce M. ,,participant,ConfA,"""Proceedings of the Conference on Africa"" pamphlet",,,,,,,,,,,,
Chen,Jiakang,China,Assistant to the Minister for Foreign Affairs; Director of the 1st Department of Asian Affairs of the Ministry of Foreign Affairs,AAConfBandung,"""Draft of the Formation""; Seperempat Abad 50",,,,,,,,,,,,
Chen,S. M. ,China,Kuo Min Tang Party of China in Great Britain,WAC,"""League Against Colonial Oppression"" booklet",,,,,,,,,,,,
Chen,Yi,China,Vice Prime Minister,AAConfBandung,"""Journal Entry of Ambasador Zhukov: Visit of Huang Zhen""; ""Report from the Chinese Foreign Ministry, 'Several Distorted Views on the Asian-African Conference'""; Seperempat Abad 50",,,,,,,,,,,,
Chi Feng,Shi,China,Peking Press Association,WAC,"""League Against Colonial Oppression"" booklet",,,,,,,,,,,,
Chikovani,Simon,Georgia,Poet   ,1AAWConf,,,,,,,,,,,,,
Ching-ling,Soong,China,Political figure,WAC,"Adi, ""Pan-Africanism"" 197",,,,,,,,,,,,
Chiu-pai,ChÃ_,China,,2LAI,"Petersson, ""We Are Neither Visionaries Nor Utopian Dreamers""",,,,,,,,,,,,
Chiume,Kanyama,Nyasaland,,3AAPC,https://www.cia.gov/library/readingroom/docs/CIA-RDP78-00915R001300320009-3.pdf,,,,,,,,,,,,
Christian,George Jaes,Dominica,"Law student; Geiss lists name as ""G. L. Christian"" 183; so does Walters 254",1PanConf,,,,,,,,,,,,,
Chu,General,China,General Feng's forces,WAC,"""League Against Colonial Oppression"" booklet",,,,,,,,,,,,
Chuen,Chen,China,Canton Labor Federation/Canton-Hongkong Strike Committee,WAC,"""League Against Colonial Oppression"" booklet",,,,,,,,,,,,
Chugunov,Aleksei,Russia,,1AAWConf,,,,,,,,,,,,,
Chukeiri,Ahmed,Syria,Ambassador to the U.S.; Diplomat; Politician; Writer,AAConfBandung,Seperempat Abad,,,,,,,,,,,,
Chung Ling,General Lu,China,National People's Army (General Chang's forces),WAC,"""League Against Colonial Oppression"" booklet",,,,,,,,,,,,
Clainville-Blonco,Max,France,from Union Intercoloniale,WAC,"""League Against Colonial Oppression"" booklet",,,,,,,,,,,,
Co,Tran Quang,Vietnam,Official of Ministry of Foreign Affairs,AAConfBandung,Seperempat Abad,,,,,,,,,,,,
Cobden Unwin,Jane,United Kingdom,"London City Council; white British woman, spoke at conference, served on executive committee of Pan African Association that emerged from conferece",1PanConf,Schneer 178,,,,,,,,,,,,
Cochran,William F. ,,council member,ConfA,"""Proceedings of the Conference on Africa"" pamphlet",,,,,,,,,,,,
Cohen,Hermann,Germany,,1URCong,Geiss The Pan-African Movement 216,,,,,,,,,,,,
Coleman,Joseph S. Oliver,Liberia,Government Affairs,AAConfBandung,,,,,,,,,,,,,
Coleman,Louis,,participant,ConfA,"""Proceedings of the Conference on Africa"" pamphlet",,,,,,,,,,,,
Colenso,R.J.,South Africa,Doctor,1PanConf,Hooker 21,,,,,,,,,,,,
Coleridge Taylor,Samuel,United Kingdom,Composer-conductor,1PanConf,http://www.blackandasianstudies.org/jeff.pdf; Hooker 21,,,,,,,,,,,,
Coles,Clarence,,participant,ConfA,"""Proceedings of the Conference on Africa"" pamphlet",,,,,,,,,,,,
Collard,Dudley,United Kingdom,lawyer,ConfAP,https://seancreighton1947.wordpress.com/2015/07/02/the-conference-of-african-peoples-1939-in-julys-history-today/,,,,,,,,,,,,
Collins,Charles A. ,,participant,ConfA,"""Proceedings of the Conference on Africa"" pamphlet",,,,,,,,,,,,
Collins,Veiola N. ,,participant,ConfA,"""Proceedings of the Conference on Africa"" pamphlet",,,,,,,,,,,,
Colon,Jesus,,participant,ConfA,"""Proceedings of the Conference on Africa"" pamphlet",,,,,,,,,,,,
Colraine,Daniel,South Africa,South African Communist Party/South African Trade Union Congress,WAC,"Makalani, ""An Incessant Struggle"" 189; ""League Against Colonial Oppression"" booklet",,,,,,,,,,,,
Cook,A. J. ,United Kingdom,Miners federation,WAC,"""League Against Colonial Oppression"" booklet",,,,,,,,,,,,
Cook,Mercer,United States,Diplomat; Professor,1IntBW,The 1st International Conference of Negro Writers and Artists,2IntBW,Second Congress of Negro Writers and Artists,,,,,,,,,,
Coomaraswamy,Rajendra,Sri Lanka,"Assistant Secretary, Ministry of Finance",AAConfBandung,Seperempat Abad,,,,,,,,,,,,
Cooper,Anna Julia,United States,Teacher & Activist,1PanConf,Hooker 21,,,,,,,,,,,,
Cooper,Henry F. ,Liberia,Politician; Diplomat,AAConfBandung,,,,,,,,,,,,,
Cooper,Lottie E.,United States,,4PanCong,UMASS,,,,,,,,,,,,
Cormon,Gabrielle,Belgium,communist; PCF,2LAI,"Petersson, ""We Are Neither Visionaries Nor Utopian Dreamers""",,,,,,,,,,,,
